,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,6,Positive,Finances,Family & Home Life,,Affording a Trip ,"Your child really wants to go to a theme park for vacation this year. You've been researching the cost of the trip, and you don't think you can afford it. You think that you can find an alternative trip that your child will still enjoy. ",,Can you make it to a theme park this year?,No,Yes,https://drive.google.com/file/d/1d3Da2RuOvJcgaHMLUgJvfG7yV7YmHOfQ/view?usp=sharing,192.jpg,"Your grandchild really wants to go to a theme park for vacation this year. You've been researching the cost of the trip, and you don't think you can afford it. You think that you can find an alternative trip that your grandchild will still enjoy. ",N/A,Can you make it to a theme park this year?,No,Yes,https://drive.google.com/file/d/1d3Da2RuOvJcgaHMLUgJvfG7yV7YmHOfQ/view?usp=sharing,192.jpg,2
,7,Resilience/Negation,Finances,,,Unexpected Bill,"You have been saving money for a big trip. Unfortunately, you receive an unexpected medical bill, and you will have to use your savings to pay for it. Using all your savings makes the trip seem impossible.","After thinking about it, you know that you will be able to save up money again. You expect that the trip can happen soon. ",Do you think you will save enough money for a trip?,Yes,No,https://drive.google.com/file/d/1XaAs3w3HV0nsyP8h-tO2pIAsO71KKDV_/view?usp=drive_link,312.jpg,"You have been saving money for a big trip. Unfortunately, you receive an unexpected medical bill, and you will have to use your savings to pay for it. Using all your savings makes the trip seem impossible.","After thinking about it, you know that you will be able to save up money again. You expect that the trip can happen soon. ",Do you think you will save enough money for a trip?,Yes,No,https://drive.google.com/file/d/1XaAs3w3HV0nsyP8h-tO2pIAsO71KKDV_/view?usp=drive_link,312.jpg,2
,8,Positive,Finances,,,Issues While Shopping,"You're hosting a dinner at your place with some neighborhood friends. The price of food at the grocery store is higher than you expected, and you worry if you'll be able to get the desserts you had planned. You talk to your friends, and they say they'd be happy to bring desserts to help out.",N/A,Are your friends upset with you about dessert?,No,Yes,https://drive.google.com/file/d/1yjHqNbzbKqQNhc2pvv80eT_augCPxLNx/view?usp=sharing,313.jpg,"You're hosting a dinner at your place with some neighborhood friends. The price of food at the grocery store is higher than you expected, and you worry if you'll be able to get the desserts you had planned. You talk to your friends, and they say they'd be happy to bring desserts to help out.",N/A,Are your friends upset with you about dessert?,No,Yes,https://drive.google.com/file/d/1yjHqNbzbKqQNhc2pvv80eT_augCPxLNx/view?usp=sharing,313.jpg,2
,9,Positive,Finances,Mental Health,,Vacation Costs,"You have been feeling really overwhelmed and drained recently and want to go on a trip to take a break. When you look into flights, you realize that the cost of a trip may be totally out of your budget. You remind yourself you can go for a short trip somewhere nearby and still have fun. ",,Can you still take time for yourself on a budget?,Yes,No,https://drive.google.com/file/d/1ITdnDbj3DvjZZDphPp_I5FrO9KSr9X3j/view?usp=sharing,314.jpg,"You have been feeling really overwhelmed and drained recently and want to go on a trip to take a break. When you look into flights, you realize that the cost of a trip may be totally out of your budget. You remind yourself you can go for a short trip somewhere nearby and still have fun. ",,Can you still take time for yourself on a budget?,Yes,No,https://drive.google.com/file/d/1ITdnDbj3DvjZZDphPp_I5FrO9KSr9X3j/view?usp=sharing,314.jpg,2
,10,Positive,Finances,Mental Health,,Food Costs,"Recently, you've just wanted to spend time alone and don't have much motivation to get out of bed. You ordered delivery a few nights in a row, and spent much more money on takeout than you normally do. You realize that there are some easy meals you can handle making next week and start planning. ",N/A,Are you going to spend all of your money on delivery? ,No,Yes,https://drive.google.com/file/d/1EiUCRYYf5uaji37PRSH_mjjnF5O5RPgn/view?usp=sharing,315.jpg,"Recently, you've just wanted to spend time alone and don't have much motivation to get out of bed. You ordered delivery a few nights in a row, and spent much more money on takeout than you normally do. You realize that there are some easy meals you can handle making next week and start planning. ",N/A,Are you going to spend all of your money on delivery? ,No,Yes,https://drive.google.com/file/d/1EiUCRYYf5uaji37PRSH_mjjnF5O5RPgn/view?usp=sharing,315.jpg,2
15,1,Positive,Finances,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably...",Find a new job that you enjoy,Be unable to support yourself,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,16.jpg,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably...",Find a new job that you enjoy,Be unable to support yourself,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,16.jpg,2
,2,Positive,Finances,,,Loan Repayment,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,https://drive.google.com/file/d/1vVohWRoemj2MWU5POeXrUhaQkK2PxIZS/view?usp=drive_link,316.jpg,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,https://drive.google.com/file/d/1vVohWRoemj2MWU5POeXrUhaQkK2PxIZS/view?usp=drive_link,316.jpg,2
,3,Negative,Finances,,,Family Car,"Your family has been borrowing your friend's car for transportation. You have been saving for a new family car, but it's a big expense. Considering the possibility of buying a new car, your think your funds will fall short.",,"In the next few months, your family will be...",Borrowing a car,Using your own vehicle,https://drive.google.com/file/d/1Li5DXkJzWEtywwPlYquQlz-JLWrQeBDT/view?usp=drive_link,317.jpg,"Your family has been borrowing your friend's car for transportation. You have been saving for a new family car, but it's a big expense. Considering the possibility of buying a new car, your think your funds will fall short.",,"In the next few months, your family will be...",Borrowing a car,Using your own vehicle,https://drive.google.com/file/d/1Li5DXkJzWEtywwPlYquQlz-JLWrQeBDT/view?usp=drive_link,317.jpg,2
,4,Positive,Finances,,,Balancing Checkbook,You're balancing your checkbook when you realize you've made several mistakes. These mistakes make you feel anxious about your ability to manage your finances in the future. You share your concerns with a close friend who reminds you that there are people in your life who can help. ,,There are people in your life that could...,Help,Harm,https://drive.google.com/file/d/1gi7ZDIyjePFGO9Bu87V87B_BWplE30qX/view?usp=drive_link,318.jpg,You're balancing your checkbook when you realize you've made several mistakes. These mistakes make you feel anxious about your ability to manage your finances in the future. You share your concerns with a close friend who reminds you that there are people in your life who can help. ,,There are people in your life that could...,Help,Harm,https://drive.google.com/file/d/1gi7ZDIyjePFGO9Bu87V87B_BWplE30qX/view?usp=drive_link,318.jpg,2
,5,Resilience/Negation,Finances,,,Buying a Home,"After renting for many years, you decide to buy a home. You spend some time online looking at houses for sale, and it seems like finding a home will be unlikely.",You meet with a realtor to discuss your budget and expectations. They think that finding your dream home will be possible. ,Will it be possible to buy a home?,Yes,No,https://drive.google.com/file/d/1hldIvZN1v1Wh8Xq9B7gBWNSfgLMGx6U6/view?usp=drive_link,319.jpg,"After renting for many years, you decide to buy a home. You spend some time online looking at houses for sale, and it seems like finding a home will be unlikely.",You meet with a realtor to discuss your budget and expectations. They think that finding your dream home will be possible.,Will it be possible to buy a home?,Yes,No,https://drive.google.com/file/d/1hldIvZN1v1Wh8Xq9B7gBWNSfgLMGx6U6/view?usp=drive_link,319.jpg,2
,6,Positive,Finances,,,Online Payment,"Your spouse offers to help you pay a bill online. As you sit with them, you can't remember the login details for your accounts. You are embarrassed, but you know your spouse is not judgmental.",,Your spouse will…,Help,Complain,https://drive.google.com/file/d/1N4JvTnUozxjJKlHWsD7N3XiTChUofWts/view?usp=sharing,320.jpg,"Your spouse offers to help you pay a bill online. As you sit with them, you can't remember the login details for your accounts. You are embarrassed, but you know your spouse is not judgmental.",,Your spouse will…,Help,Complain,https://drive.google.com/file/d/1N4JvTnUozxjJKlHWsD7N3XiTChUofWts/view?usp=sharing,320.jpg,2
,7,Resilience/Negation,Finances,,,Kids' Equipment,"Your children are very involved in sports. The season is approaching, and you take them to buy new equipment. When you see the price tag, your stomach drops.","When you think about it, you remember that you have been saving for this. You realize you can easily cover this expense, and you begin to relax.",Will you be able to buy the equipment?,Yes,No,https://drive.google.com/file/d/1YIBVvF-jKSKI-7e_e__75ZOUXYbKtClD/view?usp=drive_link,321.jpg,"Your grandchildren are very involved in sports. The season is approaching, and you take them to buy new equipment. When you see the price tag, your stomach drops.","When you think about it, you remember that you have been saving for this. You realize you can easily cover this expense, and you begin to relax.",Will you be able to buy the equipment?,Yes,No,https://drive.google.com/file/d/1YIBVvF-jKSKI-7e_e__75ZOUXYbKtClD/view?usp=drive_link,321.jpg,2
